"","Forest","Wetland","Peatland","Grassland","Wetland","Peatland","Grassland","Reforestation","Forest mgmt","Plantations","En. weathering","Nutrient mgmt","Biochar","Rice","Integrate trees","Silvopasture","Legumes","Afforestation","BECCS"
"Forest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11898301052543
"Wetland",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0403451780914277,0.0862121538416987
"Peatland",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0143203120989483,0.0303736016800413
"Grassland",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156573823853715,0.105170184347694
"Wetland",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0561874303980163,0.0799621593925534,0.0295651939691945,0.0323682685887475,0.0160415132185698,0.00590644755905026,0.0129199080131939,0.0172107800742979,0.163691656035274
"Peatland",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.366730109296757,0.512282402960863,0.446894443437647,0.105153954576082,0.187392681784629,0.0347121457441126,0.0513709119677234,0.0424300592848537,0.122755176502442
"Grassland",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.22442815970262,0.966349344535802,0.804238807103643,0.0207281693931725,0.225525373422043,0.0159171001611731,0.033650655464198,0.179873279152017,0.212932411628702
"Reforestation",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.462289923463212,0.425288996341969,0.364243876262026,0.0679707660760722,0.299779773706935,0.0850540871209758,0.103368349690253,NA,0.154811208807069
"Forest mgmt",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145565678471405
"Plantations",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.833701237816023,NA,NA,NA,NA,NA,NA,NA,0.18992491302503
"En. weathering",NA,NA,NA,NA,0.000275632776079214,0.0127722999512885,0.167696044666556,0.367151862981665,NA,-0.272596311594338,1,-0.63975061440937,-0.569407829021987,-0.106995762923384,-0.292879788657916,-0.0612222863836205,-0.087653073996292,0.0827593679442175,0.218828000617406
"Nutrient mgmt",NA,NA,NA,NA,0.000285029637489328,0.0129642022548843,0.524678714723032,0.245430919110219,NA,NA,-0.464862517906481,-1,-0.860515741839037,-0.0922723219574946,-0.312930187495639,NA,NA,0.0917237875067752,0.237927993210872
"Biochar",NA,NA,NA,NA,0.000122469351955879,0.013142636464743,0.507440931327135,0.244274744175932,NA,NA,-0.480815470865682,-1,-1,-0.100957248984451,-0.313531193209511,NA,NA,0.0859750461577412,0.251015441562305
"Rice",NA,NA,NA,NA,0.00125041313304977,0.028839685529917,0.121968810751568,0.425104637643905,NA,NA,-0.842575737012469,-1,-0.941509871659054,1,NA,NA,NA,0.0260061810658005,0.150739919844165
"Integrate trees",NA,NA,NA,NA,0.000182727275903724,0.0151544969964997,0.391297650149326,0.552840682770924,NA,NA,-0.680073356598586,-1,-0.862168426362257,NA,1,NA,NA,0.257351567495429,0.242281649148648
"Silvopasture",NA,NA,NA,NA,0.000321297020000533,0.0134057976234118,0.131885811899666,0.749057494747837,NA,NA,-0.678888108542708,NA,NA,NA,NA,1,-1,0.0898904721136714,0.108977900139399
"Legumes",NA,NA,NA,NA,0.000435741094553676,0.0123003431463355,0.172868717250463,0.564412082189897,NA,NA,-0.602621416182348,NA,NA,NA,NA,-0.619995808234698,1,0.0603485055946229,0.120795701023751
"Afforestation",NA,0.00922465294599755,0.00518720611016422,0.689326832812616,0.000178739315766395,0.00312841261012909,0.28453780113064,NA,NA,NA,0.175204401803624,0.26723664383031,0.215548629818799,0.0069913663633099,0.234632575364368,0.017161405462961,0.0185830483893999,1,0.134273855715168
"BECCS",0.090700046802409,0.00933813988311905,0.00521207667353178,0.219347223929599,0.000805340535971879,0.00428769303058733,0.159569018158698,0.123309074927316,0.189374531634313,0.0622806008932413,0.219464470343673,0.328392365420026,0.298130747081437,0.0191976133172474,0.104644279428701,0.00985623630511147,0.0176211966200027,0.0636099334181178,1
