"","Avoid forest conversion","Avoid wetland conversion","Avoid peatland impacts","Avoid grassland conversion","Coastal wetland restoration","Peatland restoration","Grassland restoration","Reforestation","Natural forest management","Improved plantations","Enhanced weathering","Cropland nutrient management","Biochar","Improved rice cultivation","Trees in croplands","Silvopasture","Legumes in pastures","Afforestation","BECCS"
"Avoid forest conversion",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075133180797575
"Avoid wetland conversion",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0419582085497976,0.064699936582249
"Avoid peatland impacts",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149403243269062,0.0241245068588981
"Avoid grassland conversion",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202839988168059,0.0784018455289395
"Coastal wetland restoration",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0491661206757147,0.0703020548019711,0.0255366006276665,0.0293324404852398,0.0139995149746105,0.00356808455118052,0.0101498982214843,0.0197494628211688,0.124657969334114
"Peatland restoration",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.341688548923264,0.476826843080094,0.415818893529913,0.0947704946273719,0.174124151035414,0.0233160539868793,0.0400505001550469,0.0561796884656948,0.084952425911751
"Grassland restoration",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.228126121161437,0.96598383284541,0.798708387920154,0.0210436831907917,0.226246033941488,0.0118658387849567,0.0340161671545899,0.259630354793147,0.162542653891563
"Reforestation",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.508785032321877,0.491709767965447,0.431471219423015,0.0807914383274278,0.349606258079426,0.0778830392259152,0.10284834391267,NA,0.131422734953773
"Natural forest management",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0852109314779835
"Improved plantations",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.834931594110944,NA,NA,NA,NA,NA,NA,NA,0.117904672673363
"Enhanced weathering",NA,NA,NA,NA,0.000281295004752562,0.0126428066268348,0.166814150350561,0.354916868646798,NA,-0.275949877741986,1,-0.64827342032057,-0.576793510639915,-0.107564475187207,-0.297060140691265,-0.0436627072651547,-0.0757767019374444,0.0951404963629734,0.160983809269526
"Cropland nutrient management",NA,NA,NA,NA,0.000293048499446384,0.0128543219454673,0.514639522352615,0.249905926913339,NA,NA,-0.472317047944742,-1,-0.858834520517829,-0.0933344635000917,-0.31447061402647,NA,NA,0.132474884337358,0.180873061028643
"Biochar",NA,NA,NA,NA,0.000123943876512349,0.0130521844599229,0.49546391539671,0.25533482975985,NA,NA,-0.489312464629295,-1,-1,-0.1023708258708,-0.314995887708559,NA,NA,0.127129691690938,0.190844039140496
"Improved rice cultivation",NA,NA,NA,NA,0.00131001915466785,0.0273728229688277,0.120119356488898,0.439937542961091,NA,NA,-0.839657618836428,-1,-0.941984298775947,1,NA,NA,NA,0.03553486295212,0.126315017016274
"Trees in croplands",NA,NA,NA,NA,0.000185568562639141,0.0149268242736115,0.383295908646854,0.565023940835377,NA,NA,-0.688239698387973,-1,-0.860269068455777,NA,1,NA,NA,0.381735179773771,0.182342869323621
"Silvopasture",NA,NA,NA,NA,0.000315020501763669,0.0133129937390806,0.133894864363045,0.838383668611041,NA,NA,-0.673780231551549,NA,NA,NA,NA,1,-1,0.123191699460421,0.0586644535900682
"Legumes in pastures",NA,NA,NA,NA,0.000442551945378973,0.0112934726512212,0.189561326050057,0.546759209789825,NA,NA,-0.57748696914006,NA,NA,NA,NA,-0.493854351687409,1,0.067461410618624,0.0657819900698221
"Afforestation",NA,0.00783326524656265,0.00410442921298468,0.676072694211689,0.00017889184718038,0.00329102803050495,0.300574769101327,NA,NA,NA,0.150627613962045,0.287870609258386,0.237257671661242,0.00720709850947348,0.260859124230109,0.0126390090746758,0.0140148389753755,1,0.0940319236183781
"BECCS",0.0852226169988962,0.0109757546868133,0.00602220909679047,0.237449219452333,0.00102602974281876,0.00452202210799831,0.170989342791556,0.131888412420217,0.160475193739918,0.0560601367549165,0.231593317977611,0.357143136048956,0.323635766422235,0.0232790599998356,0.11322368163602,0.00546904189839828,0.0124177909239952,0.0854436833699417,1
